date,messages
4/11/2021,4334
4/12/2021,4481
4/13/2021,3789
4/14/2021,4041
4/15/2021,3940
4/16/2021,2615
4/17/2021,3202
4/18/2021,1949
4/19/2021,8794
4/20/2021,4652
4/21/2021,5001
4/22/2021,4321
4/23/2021,2106
4/24/2021,4668
4/25/2021,5063
4/26/2021,4570
4/27/2021,5229
4/28/2021,4765
4/29/2021,4338
4/30/2021,7478
5/1/2021,4755
5/2/2021,5394
5/3/2021,6675
5/4/2021,9505
5/5/2021,8485
5/6/2021,5503
5/7/2021,4560
5/8/2021,2255
5/9/2021,5097
5/10/2021,6626
5/11/2021,4276
5/12/2021,5127
5/13/2021,6142
5/14/2021,4454
5/15/2021,6250
5/16/2021,8267
5/17/2021,5991
5/18/2021,6865
5/19/2021,6486
5/20/2021,8656
5/21/2021,5318
5/22/2021,4132
5/23/2021,5427
5/24/2021,5616
5/25/2021,7397
5/26/2021,6546
5/27/2021,6735
5/28/2021,6234
5/29/2021,2731
5/30/2021,3778
5/31/2021,5862
6/1/2021,4810
6/2/2021,6656
6/3/2021,3435
6/4/2021,7097
6/5/2021,4917
6/6/2021,4352
6/7/2021,5978
6/8/2021,5588
6/9/2021,3126
6/10/2021,6265
6/11/2021,4924
6/12/2021,4289
6/13/2021,2374
6/14/2021,3894
6/15/2021,4752
6/16/2021,5007
6/17/2021,3182
6/18/2021,2852
6/19/2021,3786
6/20/2021,4321
6/21/2021,2628
6/22/2021,4458
6/23/2021,4552
6/24/2021,4597
6/25/2021,4937
6/26/2021,4458
6/27/2021,7005
6/28/2021,3003
6/29/2021,4299
6/30/2021,4091
7/1/2021,3897
7/2/2021,1897
7/3/2021,3315
7/4/2021,2385
7/5/2021,5731
7/6/2021,3992
7/7/2021,4936
7/8/2021,2804
7/9/2021,4768
7/10/2021,4590
7/11/2021,8538
7/12/2021,2552
7/13/2021,3414
7/14/2021,5592
7/15/2021,3800
7/16/2021,3816
7/17/2021,6981
7/18/2021,3650
7/19/2021,3678
7/20/2021,6089
7/21/2021,3579
7/22/2021,4376
7/23/2021,5565
7/24/2021,3972
7/25/2021,4616
7/26/2021,2457
7/27/2021,2587
7/28/2021,4067
7/29/2021,5173
7/30/2021,4334
7/31/2021,7480
8/1/2021,5863
8/2/2021,4125
8/3/2021,5485
8/4/2021,6193
8/5/2021,6206
8/6/2021,5115
8/7/2021,11035
8/8/2021,7557
8/9/2021,10300
8/10/2021,8037
8/11/2021,6367
8/12/2021,6839
8/13/2021,4513
8/14/2021,4825
8/15/2021,4217
8/16/2021,5782
8/17/2021,6792
8/18/2021,4672
8/19/2021,5372
8/20/2021,5643
8/21/2021,4907
8/22/2021,8705
8/23/2021,4856
8/24/2021,6011
8/25/2021,7472
8/26/2021,7083
8/27/2021,10689
8/28/2021,4175
8/29/2021,6012
8/30/2021,9285
8/31/2021,7077
9/1/2021,8365
9/2/2021,3907
9/3/2021,4403
9/4/2021,9785
9/5/2021,11220
9/6/2021,6834
9/7/2021,5642
9/8/2021,4342
9/9/2021,3537
9/10/2021,2851
9/11/2021,9557
9/12/2021,8803
9/13/2021,6390
9/14/2021,5717
9/15/2021,6855
9/16/2021,5973
9/17/2021,8004
9/18/2021,5480
9/19/2021,4413
9/20/2021,4570
9/21/2021,4618
9/22/2021,8023
9/23/2021,4145
9/24/2021,3245
9/25/2021,5687
9/26/2021,8091
9/27/2021,6540
9/28/2021,8039
9/29/2021,5916
9/30/2021,9445
10/1/2021,5642
10/2/2021,5695
10/3/2021,4514
10/4/2021,5950
10/5/2021,5717
10/6/2021,9716
10/7/2021,5359
10/8/2021,4017
10/9/2021,7322
10/10/2021,6885
10/11/2021,7898
10/12/2021,10466
10/13/2021,8299
10/14/2021,5069
10/15/2021,4373
10/16/2021,6487
10/17/2021,10241
10/18/2021,11711
10/19/2021,8927
10/20/2021,6045
10/21/2021,5973
10/22/2021,6191
10/23/2021,8880
10/24/2021,7149
10/25/2021,11184
10/26/2021,12144
10/27/2021,9216
10/28/2021,11260
10/29/2021,5904
10/30/2021,10460
10/31/2021,7090
11/1/2021,11257
11/2/2021,9753
11/3/2021,8356
11/4/2021,9908
11/5/2021,6439
11/6/2021,15468
11/7/2021,7308
11/8/2021,5696
11/9/2021,6218
11/10/2021,5578
11/11/2021,4346
11/12/2021,3297
11/13/2021,3078
11/14/2021,4331
11/15/2021,3240
11/16/2021,6364
11/17/2021,5128
11/18/2021,5173
11/19/2021,2826
11/20/2021,2589
11/21/2021,4011
11/22/2021,5177
11/23/2021,3653
11/24/2021,3651
11/25/2021,5124
11/26/2021,4722
11/27/2021,3385
11/28/2021,3816
11/29/2021,3683
11/30/2021,5737
12/1/2021,7988
12/2/2021,7942
12/3/2021,2620
12/4/2021,3479
12/5/2021,2822
12/6/2021,2254
12/7/2021,1873
12/8/2021,2621
12/9/2021,6133
12/10/2021,3823
12/11/2021,2347
12/12/2021,3115
12/13/2021,4724
12/14/2021,4254
12/15/2021,2882
12/16/2021,2689
12/17/2021,2612
12/18/2021,3153
12/19/2021,2618
12/20/2021,2543
12/21/2021,2658
12/22/2021,3832
12/23/2021,2826
12/24/2021,2374
12/25/2021,2511
12/26/2021,4050
12/27/2021,6101
12/28/2021,6099
12/29/2021,4333
12/30/2021,3139
12/31/2021,6458
